Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,Real Address,BBL,X coordinate,y coordinate
901832,GASETERIA STATION,1860 WEBSTER AVE,,BRONX,Bronx,,,,
1105907,WOLF PETROLEUM / FUTURE TD BANK,1866 WESTCHESTER AVE,,PARKCHESTER,Bronx,,,,
9709774,GAS STATION - ANAR SERVICE STATION -MTBE,1868 LINDEN BLVD,,BROOKLYN,Kings,,,,
9709774,GAS STATION - ANAR SERVICE STATION -MTBE,1868 LINDEN BLVD,,BROOKLYN,Kings,,,,
9709774,GAS STATION - ANAR SERVICE STATION -MTBE,1868 LINDEN BLVD,,BROOKLYN,Kings,,,,
1302895,EAST 110TH ST LLC,1870 PELLHAM PKWY STH,,BRONX,Bronx,,,,
407399,FORMER WOLF/DUNKIN DONUTS,187-11 JAMAICA AVE,,QUEENS,Queens,,,,
8907125,BAYCHESTER -NYCHA,1880 SCHIEFFELIN AVE,,BRONX,Bronx,,,,
9808686,FORMER SUNOCO GAS/ FUTURE COMMERCE BANK,188-06 HILLSIDE AVENUE,,HOLLIS,Queens,,,,
403933,VALERO GAS STATION,1881 EAST TREMONT AVE,,BRONX,Bronx,,,,
403933,VALERO GAS STATION,1881 EAST TREMONT AVE,,BRONX,Bronx,,,,
9800699,GETTY S/S #58441 - GETTY PROPERTIES,1881 FOREST AVE,,STATEN ISLAND,Richmond,,,,
1301343,TEMP TANK,1899 CORNELL AVE,,BRONX,Kings,,,,
1803004,COMMERCIAL,19 WINTHROP ST,,BROOKLYN,Kings,,,,
9000631,GUNHILL DEPOT-NYCT,190 BARTOW AVENUE,,NEW YORK CITY,Bronx,,,,
1802747,TRANFORMER - UNDERGROUND,190 BENEDICT AVE,,STATEN ISLAND,Richmond,,,,
1707865,RESIDENCE,190 RIVER SIDE DRIVE,,NEW YORK,New York,,,,
1602773,GUN HILL BUS DEPOT,1900 BARTOW AVE,,BRONX,Bronx,,,,
1108428,METROPOLITAN HOSPITAL CENTER,1901 1ST AVE,,MANHATTAN,New York,,,,
1105948,UNDERGROUND TANK,1901 FIRST AVE,,MANHATTEN,New York,,,,
9803363,METROPOLITAN HOSP. EMS HHC -DDC,1901 FIRST AVENUE,,NEW YORK,New York,,,,
9611273,METROPOLITAN HOSPITAL EMS -DDC,1901 FIRST AVENUE,,NEW YORK,New York,,,,
809020,ST EDMUND ELEMENTARY SCHOOL,1902 AVENUE U,,BROOKLYN,Kings,,,,
1705402,EXCAVATION SITE,1903 WEST FARMS RD,,BRONX,Bronx,,,,
9601482,76 PRECINCT NYPD -DDC,191 UNION STREET,,BROOKLYN,Kings,193 Union Street,K/337/27,,
